cluster_id	length	description	n_members	member_uniprot_accs
UniRef50_A0A011NRN3	429	Lysozyme n=30 Tax=Candidatus Accumulibacter TaxID=327159 RepID=A0A011NRN3_9PROT	8	A0A080LZI7,A0A5S4EU45,A0A080MF48,A0A7D5N9J5,C7RLV4,A0A935T924,A0A011NRN3,A0ABX1TEG0
UniRef50_A0A011NU67	315	Peptidoglycan hydrolase FlgJ n=64 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011NU67_9PROT	1	A0ABV2CRS1
UniRef50_A0A011NW55	415	Membrane-bound lytic murein transglycosylase B n=90 Tax=Pseudomonadota TaxID=1224 RepID=A0A011NW55_9PROT	26	A0A935TI12,A0ABW2S853,A0A084XZA0,A0A2T4IDK7,A0A7S6UE97,A0A7S6ZTP4,A0AAW9R2E6,A0ABU0FPE1,A0ABQ2EME5,A0ABW3WFT4,A0ABX1T7E9,A0A080M3S8,A0A0A0ETR5,A0A1A8XUE5,A0A944D8A4,A0ABQ6FEI5,A0ABR8UHN3,A0ABS5DVS8,A0ABU0J1M9,A0A011NW55,A0A261W1Z7,A0A5S4EK05,A0A935PZ42,A0ABT7VYN5,A0ABV6SVL0,A0ABW2QIX5
UniRef50_A0A011P323	510	Penicillin-binding protein F n=1 Tax=Candidatus Accumulibacter appositus TaxID=1454003 RepID=A0A011P323_9PROT	1	A0A011P323
UniRef50_A0A011P7V1	308	Membrane-bound lytic murein transglycosylase C n=284 Tax=Bacteria TaxID=2 RepID=A0A011P7V1_ACCRE	39	A0A011P7V1,A0A177MQ03,A0A2M8HEP4,A0A6M4YGC9,A0A935UHH7,A0AA37CVI3,A0AAW9YCV7,A0ABW0YCA0,C7RT61,A0A0S2SHP7,A0AAU6T6U4,A0AAW5RE97,A0AAX3VXH2,A0ABS7VBK4,A0A175VKV6,A0A7T3X3N9,A0AAE7AJP2,A0AAE9MKR4,A0AAJ5Z4X2,A0AAU6U589,A0AAX1PGD5,A0ABX0CZL0,A0A177M430,A0A3L0VYK2,A0A443WI15,A0A5J6WX32,A0A6S5VSX6,A0AAP6GCD6,A0ABW9GN05,R1GXY8,T0R3B6,A0A5F0KC56,A0AAE9TGH5,A0AAV4YED9,A0ABD0B6V6,A0ABS4B8X2,A0ABU5W145,A0ABU9J9P8,N9VP04
UniRef50_A0A011P8Q5	647	Soluble lytic murein transglycosylase n=154 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011P8Q5_ACCRE	43	A0A011NTV5,A0A011P8Q5,A0A1R1HYY5,A0A840FWH5,A0A9D7LPY6,A0ABY0IT66,A0A7Z7HSS6,A0A9D7HKW4,A0ABV4UHI8,A0ABZ2XJ78,W0SJI0,A0A011QYF4,A0A1A8Y214,A0A497XLH0,A0A5C1ECA3,A0A656Z8N1,A0A6A7RWK6,A0A935W8H6,A0A974SQ03,A0A9D7F6B5,Q477X3,A0A011PPY0,A0A080LYR5,A0A084Y560,A0A133XFD9,A0A1A8XDY1,A0A1G7W4G6,A0A369XQH3,A0A6L5JXM9,A0A7D5SDH0,A0A809R403,A0A935PYL9,A0A9D7K477,A0ABS9JY25,A0ABX1T9R9,G8QGL3,A0A495VQG5,A0A5S4EHD8,A0A6S6XNG8,A0A930BRX2,A0ABX0WFB6,A0ABX1TQ97,C7RJQ7
UniRef50_A0A011P9E0	344	Membrane-bound lytic murein transglycosylase B n=105 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011P9E0_ACCRE	23	A0A133XNS5,A0A369XWU3,A0A930G1Q6,G8QHZ0,A0A084Y418,A0A1A8XG85,A0A1R1I874,A0A6A7RSF1,A0A840G552,A0A935Q0C9,A0A935TFX9,A0ABY0IP77,C7RSH8,A0A011P9E0,A0A7D5SVU2,A0ABS9K3S6,A0A011PSP8,A0A080M9S5,A0A5S4EMY4,Q47D28,A0A011QFN1,A0ABX1T8L3,A0ABX1TXW9
UniRef50_A0A011PC21	636	Membrane-bound lytic murein transglycosylase D n=32 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011PC21_ACCRE	11	A0A011NMP2,A0A080LYX8,A0A011N591,A0A011PC21,A0A080M4T3,A0A840GA30,A0A935TJC6,A0A369XNX0,A0A6A7RNV4,A0A935UHS0,A0ABX1TTB4
UniRef50_A0A011PCJ2	255	Membrane-bound lytic murein transglycosylase C n=70 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011PCJ2_ACCRE	22	A0A011PN65,A0A084Y3B4,A0A369XJE8,A0A6A7RXT2,A0A7D5SFF6,A0A934SWW2,A0ABQ4Q0L7,A0ABU1BN57,A0ABU6J899,A0ABV7EZJ4,A0ABX1TG68,A0A011PCJ2,A0A080LZL9,A0A0C2BQ02,A0A5S4EI18,A0ABP7SZ78,A0ABY1QUK3,A0A3A3GHD1,A0A935TA09,A0A935UGC6,A0A9D7LNE2,A0A3A3GAW5
UniRef50_A0A011PE52	91	Uncharacterized protein n=1 Tax=Accumulibacter regalis TaxID=522306 RepID=A0A011PE52_ACCRE	1	A0A011PE52
UniRef50_A0A011PR71	224	Membrane-bound lytic murein transglycosylase F n=46 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011PR71_9PROT	15	A0A369XY98,A0A5S4EL98,A0ABX1TE26,A0ABX1TW86,A0A011PR71,A0A011PSN5,A0A935Q0G9,A0ABP7TSR2,A0A7D5SEA6,A0A011NPQ3,A0A935W8G8,A0A080M2U9,A0A084Y6Q4,A0A163C7J8,A0A1A8XLS0
UniRef50_A0A011PUE3	302	Soluble lytic murein transglycosylase n=205 Tax=Bacteria TaxID=2 RepID=A0A011PUE3_ACCRE	44	A0A011PUE3,A0A080M3J8,A0A1A8Y2I6,A0A420KD55,A0A858ZSD1,A0A9D7LQK1,A0ABX1TZ91,N6ZRQ1,A0A1W6LIF7,A0A840G760,A0A935PWR4,N6YQ57,A0A084Y5Y2,A0A1A8XK57,A0A1H4CQD4,A0A240UI09,A0A2W5DG81,A0A6A7RWQ5,A0ABX1TAC0,G4WVE9,N6Z5V7,Q47DA5,A0A011MZL1,A0A080MK35,A0A1T1AT35,A0A240U7N9,A0A369XSC2,A0A5S4ENT8,A0A6N9HPQ8,A0A935KAB0,A0A935TB00,A0A944H8F7,A0ABS9K3N7,F4G6M9,Q221R8,A0A011QHN6,A0A1Q8YGZ4,A0A1W9KTN8,A0A7D5SGA6,A0AAW9Q3T3,A0ABY4S792,A0ABZ0J5S3,C7RIG8,F5RHJ1
UniRef50_A0A011R7A5	263	Lytic murein transglycosylase n=65 Tax=Betaproteobacteria TaxID=28216 RepID=A0A011R7A5_ACCRE	21	A0A1A8XQB1,A0A6A7RVF9,A0A9D7IA21,G8QJH6,A0A011PNJ9,A0A080LVA4,A0A369XMM8,A0ABX1TVD9,A0A084Y1K5,A0A5S4ELW7,A0A935UGD5,A0ABX1TAW7,A0A011R7A5,A0A080M646,A0A1G7UVH7,A0A6F8VB75,C7RIC9,A0A011PNE9,A0A1A8XSY8,A0A935W3L4,A0ABY0INN3
UniRef50_A0A011TDN0	205	Lytic transglycosylase n=61 Tax=Hyphomicrobiales TaxID=356 RepID=A0A011TDN0_9HYPH	35	A0A011TDN0,A0A178XSX8,A0A1B8RH11,A0A2G1QQR9,A0A2K9Z5M0,A0A3R9C565,A0A3S0SPP2,A0A3S0SYZ2,A0AAJ1BUR1,A0ABV7DLQ7,J0HB01,A0A2G1QQ57,A0A7W6B5C8,A0A7W9ZWU9,A0ABT0V847,A0A3S0QUP6,A0A6M1S109,A0A7K3UF81,A0AAE5WMV4,A0AAE8TUG0,A0ABY1XC72,A0ABY8D052,A0ABZ0ZDV6,A0A2A6JH00,A0A2D0AB64,A0A429YWY9,A0A444I0K4,A0AAE2MKH0,A0AAW8NYJ7,A0A2Z4YCW4,A0A3E1BH05,A0A7W6W3I1,A0ABF7QP74,A0ABU0I967,A0ABY1XWJ5
UniRef50_A0A011UAD3	269	Lytic transglycosylase n=9 Tax=Phyllobacteriaceae TaxID=69277 RepID=A0A011UAD3_9HYPH	5	A0A011UAD3,A0A371XEJ0,A0A4R6YBZ3,A0A1I3QJU3,A0ABV2KIQ5
UniRef50_A0A011UXW5	271	Lytic transglycosylase n=52 Tax=Oscillospiraceae TaxID=216572 RepID=A0A011UXW5_RUMAL	10	A0A1H7FLC8,A0A1I1NJZ4,A0AAE3IHF1,A0AAW6E934,E9SCW7,A0AAW6DZ27,A0AAW6EJZ4,A0ABP1WH56,A0A011UXW5,E6UL47
UniRef50_A0A015IC03	133	Lysozyme n=8 Tax=Glomeromycetes TaxID=214506 RepID=A0A015IC03_RHIIW	7	A0A015IC03,A0A2I1F0P8,A0A2P4PM62,A0A2I1H1F7,A0A2N0R9A1,A0A9N9GV78,U9T5J9
UniRef50_A0A015L2T0	179	Lysozyme n=6 Tax=Rhizophagus TaxID=1129544 RepID=A0A015L2T0_RHIIW	6	A0A015L2T0,A0A2Z6SF93,A0A8H3QJT3,U9TCU3,A0A2I1HL78,A0A2N1M602
UniRef50_A0A015LDX8	166	Lysozyme n=7 Tax=Glomeraceae TaxID=36751 RepID=A0A015LDX8_RHIIW	6	A0A015LDX8,A0A2N0Q7R0,A0A2N1MZ41,A0A2P4QCG5,A0A397TSA8,A0A2I1EL27
UniRef50_A0A016QN50	282	Glycoside hydrolase family 19 catalytic domain-containing protein n=4 Tax=Deinococcus TaxID=1298 RepID=A0A016QN50_9DEIO	2	A0A7C9HTZ5,A0A016QN50
UniRef50_A0A016SF97	139	lysozyme n=17 Tax=Rhabditida TaxID=6236 RepID=A0A016SF97_9BILA	14	A0A1I8BK69,A0A6V7V9G3,A0A914NQV2,A0AA36H196,A0A915P5Q3,A0A0D6LH87,A0A6V7WNH6,A0A914M705,A0A016SF97,A0AA36H0R4,A0AA36H0S2,A0AA36H0T3,A0A6V7UGG7,A0A915NI43
UniRef50_A0A017HBD8	219	Lysozyme n=8 Tax=Alphaproteobacteria TaxID=28211 RepID=A0A017HBD8_9RHOB	3	A0A017HBD8,A0A8J3H179,A0A2G1MGW0
UniRef50_A0A017HF54	329	Membrane-bound lytic murein transglycosylase B n=1 Tax=Rubellimicrobium mesophilum DSM 19309 TaxID=442562 RepID=A0A017HF54_9RHOB	1	A0A017HF54
UniRef50_A0A017HPZ3	319	SLT domain protein n=24 Tax=Rhodobacterales TaxID=204455 RepID=A0A017HPZ3_9RHOB	10	A0A017HPZ3,A0A8J6Z254,A0A1G7F7L3,A0A2G1MFH6,A0A5C4NB54,A0A9X2JPN4,A0A017HGU0,A0A1X6YS15,A0ABR6HLZ8,U3AGU1
UniRef50_A0A017HRN9	238	Transglycosylase SLT domain-containing protein n=9 Tax=Rubellimicrobium TaxID=295418 RepID=A0A017HRN9_9RHOB	4	A0A5C4NL33,A0A017HRN9,A0ABW0S7C5,A0A5C4N4Q8
UniRef50_A0A017HSN2	187	Transglycosylase SLT domain-containing protein n=6 Tax=Rhodobacterales TaxID=204455 RepID=A0A017HSN2_9RHOB	2	A0A347ULH6,A0A017HSN2
UniRef50_A0A017HVG9	720	Soluble lytic murein transglycosylase n=16 Tax=Rhodobacterales TaxID=204455 RepID=A0A017HVG9_9RHOB	10	A0A318SYI6,F9Y7U6,A0A5C4ND37,A0A017HVG9,A0A1M6EQP2,A0A5C4MXL9,A0A1W6NWT3,A0A6B2JZA4,A0ABR6HLU2,A0ABW0SAM0
UniRef50_A0A017RTW7	790	Penicillin-binding protein 1A n=1 Tax=Fervidicella metallireducens AeB TaxID=1403537 RepID=A0A017RTW7_9CLOT	1	A0A017RTW7
UniRef50_A0A017SZ47	475	Uncharacterized protein n=1 Tax=Chondromyces apiculatus DSM 436 TaxID=1192034 RepID=A0A017SZ47_9BACT	1	A0A017SZ47
UniRef50_A0A017T1K6	608	Transglycosylase SLT domain-containing protein n=1 Tax=Chondromyces apiculatus DSM 436 TaxID=1192034 RepID=A0A017T1K6_9BACT	1	A0A017T1K6
UniRef50_A0A017T7K7	758	Monofunctional biosynthetic peptidoglycan transglycosylase n=4 Tax=Polyangiaceae TaxID=49 RepID=A0A017T7K7_9BACT	1	A0A017T7K7
UniRef50_A0A017TGB8	824	peptidoglycan glycosyltransferase n=25 Tax=Myxococcota TaxID=2818505 RepID=A0A017TGB8_9BACT	13	A0A6N7PJR4,A0ABT5BB98,A0ABT6NKX5,A0ABY7H4N6,A0A1I2C400,A0ABS7U5H1,A0A0K1EE26,A0A4U1JFV3,A0ABT5DZW8,A0A017TGB8,A0A0K1PX96,A0A9X3X7F6,A0ABT5F3M8
UniRef50_A0A021VPR3	339	G5 domain-containing protein n=1 Tax=Actinotalea ferrariae CF5-4 TaxID=948458 RepID=A0A021VPR3_9CELL	1	A0A021VPR3
UniRef50_A0A021VRW9	834	Carboxypeptidase n=12 Tax=Cellulomonadaceae TaxID=85016 RepID=A0A021VRW9_9CELL	4	A0A021VRW9,A0A0A0C1M6,A0A4P7SFY8,A0A511J8A6
UniRef50_A0A021VVL0	457	G5 domain-containing protein n=28 Tax=Micrococcales TaxID=85006 RepID=A0A021VVL0_9CELL	11	A0A8A4ZM49,A0A1J5RW48,A0A7Y0LZ74,A0ABX5VTH6,D1BXV0,A0A0A0C192,A0A3M2JJS8,A0A919U6S8,A0ABT9D7G8,A0A021VVL0,A0A1H5N4U5
UniRef50_A0A022KYZ6	417	G5 domain-containing protein n=74 Tax=Actinomycetes TaxID=1760 RepID=A0A022KYZ6_9MICO	17	A0A022KYZ6,A0A426SLC6,A0ABQ5RF86,C7MFG6,A0ABS4X459,A0A220UAQ2,A0A291GM32,A0A841ABR2,A0A9D2LD78,A0A9D2Q225,A0A291GV81,A0A345YPF7,A0ABR9VXW5,A0ABS4YIE3,A0ABW0FD04,A0A2A3YM36,A0ABW4PYZ6
UniRef50_A0A022PFR1	263	Lysozyme n=7 Tax=Photorhabdus TaxID=29487 RepID=A0A022PFR1_9GAMM	2	A0A022PFR1,A0A5C4RC72
UniRef50_A0A022Q9I9	857	Receptor-like serine/threonine-protein kinase n=35 Tax=Pentapetalae TaxID=1437201 RepID=A0A022Q9I9_ERYGU	6	A0A8K0H576,A0AAP0MPN4,A5BV12,A0A438C499,A0AAW0M028,A0A978V9A9
